,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,DIC,TA,TP,TS,depth_m,sal,temp_C,temp_C_MgCa,temp_C_d18O,core_depth_m,doi,lat,lon,shortref,site_info,species
3,317.15001894177954,82.28364005822048,399.43365900000003,11.543270486738352,177.36288160400107,1993.5833333333303,1804.677181242591,1.7631666666666699,33.63045,2245.2366666666703,14.4615666666667,301.92554687466026,41.0867272811461,1993.58333333333,2245.23666666667,0.389362515940709,5.89975702211834,17.6316666666667,33.63045,14.4615666666667,14.533809237219,11.3179242322874,1325.0,10.1016/j.epsl.2017.03.007,33.236,-118.632,Krupinski2017,"NH0312-04-2MC4, 0-2",G. bulloides
4,,,,,,,,,,,,,37.2375460131056,,,,,,,,,,1849.0,10.1016/j.epsl.2017.03.007,32.174,-117.734,Krupinski2017,"NH0312-17-9MC4, 0-2",G. bulloides
5,331.219867318359,76.53907496735538,407.75894228571434,13.37314505766219,157.24115345725497,2055.6288,1885.014501485083,23.0,34.3314,2279.1000000000004,10.016,304.93512968614743,45.8352557373929,2055.6288,2279.1,0.974,3.296,230.0,34.3314,10.016,10.5184638596676,0.979661964304327,3437.0,10.1016/j.epsl.2017.03.007,-36.07,-107.187,Krupinski2017,"OC170-010-109, 2-4",G. bulloides
6,331.43195734371795,75.36731179913922,406.79926914285716,13.606763373958163,154.73718612303352,2061.1923,1892.8483505030083,19.0,34.2506,2280.71,9.491,304.7698785925137,37.3201543989564,2061.1923,2280.71,1.031,4.704,190.0,34.2506,9.491,10.0199513530509,0.766913158789562,3170.0,10.1016/j.epsl.2017.03.007,-39.022,-109.733,Krupinski2017,"OC170-SR155, 1-3",G. bulloides
7,324.53220150217624,81.78010478353809,406.3123062857143,12.046100448759976,169.60040325491275,2034.0238000000002,1852.3772962963271,15.0,34.2096,2276.61,10.387,277.8524650652856,42.5534915549734,2034.0238,2276.61,0.909,3.609,150.0,34.2096,10.387,10.8824233902756,3.17230049580584,2811.0,10.1016/j.epsl.2017.03.007,-39.017,-110.517,Krupinski2017,"OC170-SR157, 1-3",G. bulloides
8,324.5197335589925,82.20233415529322,406.72206771428574,11.993132958912833,170.41364423953598,2037.0259999999998,1854.6192228015514,15.5,34.2441,2280.86,10.215,275.12775043169137,45.2166957852904,2037.026,2280.86,0.887,3.752,155.0,34.2441,10.215,10.7015451850532,1.69104078274432,3302.0,10.1016/j.epsl.2017.03.007,-39.025,-113.025,Krupinski2017,"OC170-SR168, 0-3",G. bulloides
9,334.1734825335509,79.1976472950206,413.37112982857144,13.24238955206913,174.4597984966101,2025.6584999999998,1837.9563119513207,5.6,34.80392,2271.7200000000003,18.8716,396.8657920349525,49.3546549689514,2025.6585,2271.72,1.61,16.4564,56.0,34.80392,18.8716,19.0350515166058,16.0383227545883,260.0,10.1016/j.epsl.2017.03.007,24.5525,-110.4793,Krupinski2017,"PCM99-57C, 0-2",G. bulloides
10,336.48010199181033,76.99293372247541,413.4730357142858,13.780560882654864,168.74615903540374,2034.8027,1852.2759800819413,6.25,34.8125,2272.2700000000004,18.31,406.485616507003,42.1432414782659,2034.8027,2272.27,1.74,18.37,62.5,34.8125,18.31,18.441775679537,19.7383065851427,400.0,10.1016/j.epsl.2017.03.007,24.62216,-110.62833,Krupinski2017,"PCM99-63C, 0-2",G. bulloides
11,319.19499030893695,95.39004290534885,414.5850332142858,10.439784549368115,222.78175017140157,2012.7875,1779.5659652792308,3.06625,34.906125,2327.562500000008,23.07275,350.9017371167258,60.7859343123125,2012.7875,2327.5625,0.54125,3.3125,30.6625,34.906125,23.07275,18.7975465288803,18.4230653531679,360.0,10.1016/j.epsl.2017.03.007,24.74616,-110.588833,Krupinski2017,"PCM99-68AC, 0-2",G. bulloides
12,323.3886703040892,87.7267525530536,411.11542285714285,11.16619687513379,182.833756082332,2043.8722,1849.8722470425341,10.0,34.614,2306.5,9.97,254.63983385332838,47.8956620824482,2043.8722,2306.5,0.79,2.95,100.0,34.614,9.97,10.6493116137443,6.25286646615514,2080.0,10.1016/j.epsl.2017.03.007,-44.7917,179.5685,Krupinski2017,"RR0503-10TC, 2-4",G. bulloides
13,,,,,,,,,,,,,27.1669122187392,,,,,,,,,,2418.0,10.1016/j.epsl.2017.03.007,-42.0742,-177.6267,Krupinski2017,"RR0503-28TC, 2-4",G. bulloides
14,332.198527474422,86.48263538272082,418.68116285714285,11.89492368756805,183.24814108498444,2053.7246,1858.5815352274474,15.0,35.251,2315.1100000000206,13.37,303.583645081097,38.7223601703008,2053.7246,2315.11,0.59,5.81,150.0,35.251,13.37,14.100023664929,14.2340986087548,3318.0,10.1016/j.epsl.2017.03.007,-39.8948,179.9808,Krupinski2017,RR0503-48TC 2-4,G. bulloides
15,332.4563871807683,88.41016996208889,420.8665571428572,11.659561681511638,189.62540516444372,2044.1426999999999,1842.8577331540444,15.0,35.435,2314.5500000000225,15.28,315.80347298323244,44.2810930852616,2044.1427,2314.55,0.58,4.44,150.0,35.435,15.28,17.5473714645715,17.1606750155684,1883.0,10.1016/j.epsl.2017.03.007,-37.1608,177.1058,Krupinski2017,"RR0503-67TC, 2-4",G. bulloides
16,337.5671987414726,81.31587554424178,418.8830742857144,13.09332232340787,171.98667366051663,2071.3883,1886.3083040160755,25.0,35.268,2315.1999999999994,13.77,338.3702271617632,37.4730870255824,2071.3883,2315.2,0.78,6.2,250.0,35.268,13.77,14.4069309124209,15.6426236428849,2006.0,10.1016/j.epsl.2017.03.007,-37.0732,177.1572,Krupinski2017,"RR0503-71TC, 2-4",G. bulloides
17,,,,,,,,,,,,,61.2821781737052,,,,,,,,,,2879.0,10.1016/j.epsl.2017.03.007,-46.317,-76.538,Krupinski2017,"RR9702A-10-MC4, 1-3",G. bulloides
18,,,,,,,,,,,,,58.1353316846789,,,,,,,,,,430.0,10.1016/j.epsl.2017.03.007,-40.008,-74.117,Krupinski2017,RR9702A-22MC3 2-4,G. bulloides
19,336.51495319864233,75.9437745156434,412.4587277142857,14.141522606037798,165.20398051614768,2081.3037,1901.9581968778143,13.25,34.7271,2312.350000000001,15.411,383.0225468780452,39.2090841261413,2081.3037,2312.35,1.047,6.421,132.5,34.7271,15.411,15.6499147219197,13.4742318761454,1323.0,10.1016/j.epsl.2017.03.007,-21.359,-81.436,Krupinski2017,RR9702A-54 MC1 2-4,G. bulloides
