Sample,Date,Time,6Li,7Li,7Li/6Li,Beta,6Li_SE,7Li_SE,7Li/6Li_SE,Beta_SE,Run
C2.1 post,08/10/18,04:57:31,0.077529703979499,0.370617126566685,4.78042377958189,6.07310136287167,7.14444514763996E-05,0.000350408000612,0.000219989837338,0.000298961923189,4
Wash,08/10/18,05:02:26,0.000544435421609,0.002528940764598,4.61960748952139,6.29627630569061,6.53555556283038E-06,2.34244198159223E-05,0.018458731687674,0.025917300832615,4
Blank,08/10/18,05:05:38,0.000565620312627,0.002578708194705,4.55922932895737,6.38222633631419,3.29260067686447E-06,1.84659820063977E-05,0.021383532842412,0.030598782339816,4
L-SVEC,08/10/18,05:08:29,0.026477683090143,0.376489642210565,14.2195561598677,-1.00829989558211,1.54257250809807E-05,0.000221300260328,0.00086791274961,0.000396546892277,4
Wash,08/10/18,05:13:49,0.000543924096217,0.002631889635338,4.83098819246423,6.00547760345804,5.05309907587385E-06,2.17406866380801E-05,0.017046894464801,0.022924694196577,4
Blank,08/10/18,05:17:00,0.000541285219178,0.002551489343111,4.72085114504391,6.1549932731477,2.70649876648962E-06,1.50218860370712E-05,0.012780796423611,0.017618651228952,4
1.1 pre,08/10/18,05:19:52,0.084282810754367,0.401457884356378,4.76355697000532,6.09606241046996,0.000135907797209,0.000648133018285,0.000246147334208,0.000335677449217,4
Wash,08/10/18,05:24:46,0.000575373273036,0.002658278131676,4.62750674536085,6.28484498419323,2.58701485803894E-06,1.63888203012399E-05,0.01413007196579,0.019887806154715,4
Blank,08/10/18,05:27:58,0.000560061512136,0.002574878283459,4.59167537621572,6.33539231093856,5.66435182998605E-06,2.24968507399452E-05,0.014702513451254,0.020762142040574,4
L-SVEC,08/10/18,05:30:50,0.027130118365619,0.385628797387893,14.2149832487699,-1.00621048613624,3.0122948872146E-05,0.000428212776393,0.000761068346817,0.0003477815848,4
Wash,08/10/18,05:35:49,0.000561339626309,0.002736042021122,4.88077802213865,5.93852027529708,2.43072771947509E-06,1.66781795884291E-05,0.012422129106809,0.016569501433808,4
Blank,08/10/18,05:39:01,0.000553317870176,0.002633085812475,4.74855198288187,6.11701306539507,3.24643626657994E-06,1.53192796595504E-05,0.013270392784615,0.018133742403224,4
1.1 pre,08/10/18,05:41:53,0.08390086934008,0.399643706107478,4.76342874173167,6.0962372123705,9.91309369094599E-05,0.00048323484469,0.000192972557664,0.000263183695159,4
Wash,08/10/18,05:46:47,0.000615992405664,0.002862335200272,4.6390025498164,6.26869082830665,3.14356006886292E-06,1.94358001085241E-05,0.013679874619286,0.019225277163077,4
Blank,08/10/18,05:49:59,0.000610554863985,0.002818004638657,4.62153351338253,6.2930288081743,3.71518477798799E-06,1.71528913915261E-05,0.01113974096014,0.01567296857149,4
