,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,BOH4_HCO3,BT,depth_m,n,pHtot,temp_C,Core,comments,doi,lat,lon,sample_depth,shortref,species
45,351.7006789378712,63.25462420498597,414.9553031428572,19.096502570494156,108.39494742947885,2173.205115146517,2045.713665146544,276.3,34.9373,2326.5574563300092,2.83912,339.7833443707425,157.3794227156421,,,,0.030942880481812582,415.2547657142857,2763.0,1.0,7.9790428913476035,2.83912,GeoB4420-1,O,10.1016/j.epsl.2007.03.025,16.472,46.463,0-1,Yu2007,C. mundulus
46,352.17375392440243,62.58795178988329,414.7617057142857,19.60416021128246,105.32150872586156,2186.464903292952,2061.5392343558074,317.6,34.921,2335.531883126081,2.62288,345.98362576466894,146.99896371735912,,,,0.030381725878125827,415.06102857142855,3176.0,1.0,7.954534972223038,2.62288,GeoB4421-2,O,10.1016/j.epsl.2007.03.025,16.99,46.01,0-1,Yu2007,C. mundulus
47,352.17375392440243,62.58795178988329,414.7617057142857,19.60416021128246,105.32150872586156,2186.464903292952,2061.5392343558074,317.6,34.921,2335.531883126081,2.62288,345.98362576466894,138.6192485348359,,,,0.030381725878125827,415.06102857142855,3176.0,1.0,7.954534972223038,2.62288,GeoB4421-2,"O, RB",10.1016/j.epsl.2007.03.025,16.99,46.01,0-1,Yu2007,C. mundulus
48,347.8541756883653,66.80894974020616,414.66312542857145,18.34707162209225,111.22214252356866,2198.004867109446,2068.435652963785,365.6,34.9127,2358.4891892026158,2.51787,322.5143052929988,118.34206861451582,,,,0.03232257379889979,414.9623771428572,3656.0,1.0,7.963988655775244,2.51787,OMEX 12B,O,10.1016/j.epsl.2007.03.025,48.9988,13.2087,0-1,Yu2007,C. mundulus
49,347.8541756883653,66.80894974020616,414.66312542857145,18.34707162209225,111.22214252356866,2198.004867109446,2068.435652963785,365.6,34.9127,2358.4891892026158,2.51787,322.5143052929988,123.14991029715831,,,,0.03232257379889979,414.9623771428572,3656.0,1.0,7.963988655775244,2.51787,OMEX 12B,O,10.1016/j.epsl.2007.03.025,48.9988,13.2087,0-1,Yu2007,C. mundulus
50,349.1610673508955,65.38447436339027,414.5455417142857,19.13203179407403,105.2266579822095,2203.2567580065866,2078.898068230303,433.5,34.9028,2355.490582846193,2.50499,336.13100203170444,115.46075644084733,,,,0.03147420340470718,414.84470857142855,4335.0,1.0,7.917237266057767,2.50499,OMEX 14B,O,10.1016/j.epsl.2007.03.025,48.588,13.3395,0-1,Yu2007,C. mundulus
53,360.6113127680584,51.7298312319416,412.341144,25.46011054890112,84.26985294859816,2256.209546633969,2146.47958313647,373.1,34.7172,2367.2764082687704,1.15576,424.587774711837,129.9796806245049,130.38482741994514,129.57453382906468,,0.024117240027613923,412.63872,3731.0,2.0,7.850625808403559,1.15576,WIND 3B,R,10.1016/j.epsl.2007.03.025,-32.64416666666666,-48.494,core-top,Yu2007,C. mundulus
54,360.1116923005535,52.33990912801797,412.4516014285715,25.134255365124716,85.7853351044291,2259.3382002199514,2148.4186097503975,368.4,34.7265,2372.8694631609546,1.25637,420.79139359886733,122.11451323756148,124.49245656098459,119.73656991413839,,0.024379644291279694,412.7492571428572,3684.0,2.0,7.857583233160478,1.25637,WIND 5B,R,10.1016/j.epsl.2007.03.025,-31.569,-47.56916666666667,core-top,Yu2007,C. mundulus
55,363.88992981913265,48.58780132372468,412.4777311428573,27.781785430378644,81.23956270828018,2295.9744749594684,2186.9531268208093,352.0,34.72870000000001,2398.531327887022,1.57981,470.8852045453075,150.63,,,,0.02223315410566483,412.7754057142858,3520.0,1.0,7.825625711276832,1.57981,WIND 33B,"R,r",10.1016/j.epsl.2007.03.025,-11.211833333333333,-58.77066666666666,core-top,Yu2007,C. mundulus
1,350.929456554911,65.50930173080324,416.43875828571424,17.60980691225448,123.48907919359611,2139.4642361620045,1998.365350056154,115.0,35.0622,2311.9478454565806,5.49653,345.3908502445088,28.77641345612451,,,,0.03280510148327245,416.7392914285714,1150.0,1.0,8.047075299340415,5.49653,BOFS 17K,R,10.1016/j.epsl.2007.03.025,58.0,16.5,2-3,Yu2007,Uvigerina spp.
2,350.929456554911,65.50930173080324,416.43875828571424,17.60980691225448,123.48907919359611,2139.4642361620045,1998.365350056154,115.0,35.0622,2311.9478454565806,5.49653,345.3908502445088,30.82790449075955,,,,0.03280510148327245,416.7392914285714,1150.0,1.0,8.047075299340415,5.49653,BOFS 17K,O,10.1016/j.epsl.2007.03.025,58.0,16.5,2-3,Yu2007,Uvigerina spp.
3,354.5203689199712,59.542960794314574,414.06332971428577,20.660170591322068,102.47199342325781,2195.290713869511,2072.1585498549302,267.0,34.8622,2337.3695725089065,2.43077,361.88473041792747,25.412804677959805,,,,0.028755488532527983,414.3621485714286,2670.0,1.0,7.959750907863621,2.43077,PC174BX,R,10.1016/j.epsl.2007.03.025,-27.0155,3.8595,0-1,Yu2007,Uvigerina spp.
6,360.5177654807102,51.793685662147,412.31145114285715,25.658078766301546,82.6299282188758,2259.04836618901,2150.7603592038326,415.0,34.7147,2368.3273311796006,1.06382,426.3799933188614,11.700123695857979,,,,0.024098948825878184,412.60900571428573,4150.0,1.0,7.829897111120262,1.06382,WIND 6B,R,10.1016/j.epsl.2007.03.025,-31.273333333333333,-47.56433333333333,core-top,Yu2007,Uvigerina spp.
7,377.76486337529093,52.991790624709076,430.756654,25.463514323681398,118.15385470351744,2209.6606056090877,2066.0432365818892,15.1,36.2677,2357.6804697096727,19.5571,784.1460613148056,44.81865390353107,45.952181975704846,43.68512583135729,,0.025667436430332494,431.06752,151.0,2.0,7.794267252438259,19.5571,CD145 A150,R,10.1016/j.epsl.2007.03.025,23.277333333333335,-66.65716666666667,core-top,Yu2007,Uvigerina spp.
8,377.76486337529093,52.991790624709076,430.756654,25.463514323681398,118.15385470351744,2209.6606056090877,2066.0432365818892,15.1,36.2677,2357.6804697096727,19.5571,784.1460613148056,49.88279429110905,,,,0.025667436430332494,431.06752,151.0,1.0,7.794267252438259,19.5571,CD145 A150,O,10.1016/j.epsl.2007.03.025,23.277333333333335,-66.65716666666667,core-top,Yu2007,Uvigerina spp.
9,384.23315140334677,45.55670316808186,429.78985457142863,30.276091496892104,97.66601103381868,2243.2948127007307,2115.35271017002,29.9,36.1863,2357.760684852969,15.8233,836.9727682635217,36.01815671733742,,,,0.021551762999170637,430.1000228571429,299.0,1.0,7.759272920792897,15.8233,CD145 A300,R,10.1016/j.epsl.2007.03.025,23.212333333333333,-66.56783333333334,core-top,Yu2007,Uvigerina spp.
10,384.23315140334677,45.55670316808186,429.78985457142863,30.276091496892104,97.66601103381868,2243.2948127007307,2115.35271017002,29.9,36.1863,2357.760684852969,15.8233,836.9727682635217,36.82981606455151,,,,0.021551762999170637,430.1000228571429,299.0,1.0,7.759272920792897,15.8233,CD145 A300,O,10.1016/j.epsl.2007.03.025,23.212333333333333,-66.56783333333334,core-top,Yu2007,Uvigerina spp.
11,383.1204117739294,42.192947654642055,425.3133594285714,32.504026277904174,87.72486767224882,2255.5375068064604,2135.3086128563073,49.2,35.8094,2354.0910824428424,12.9453,821.2386810137234,24.566340222566936,,,,0.019773908542177678,425.6202971428571,492.0,1.0,7.754671641940426,12.9453,CD145 A500,O,10.1016/j.epsl.2007.03.025,23.139166666666668,-66.50266666666667,core-top,Yu2007,Uvigerina spp.
12,378.1206733284619,36.04955067153812,414.1702240000001,39.08129734151389,66.7203435402423,2356.718106945912,2250.916466064156,187.0,34.8712,2420.8556902570704,3.44281,710.8025757853944,13.875572040161442,,,,0.01602705708946177,414.46912000000003,1870.0,1.0,7.744006982035557,3.44281,CD145 A1800,R,10.1016/j.epsl.2007.03.025,22.855833333333333,-66.0015,core-top,Yu2007,Uvigerina spp.
13,365.89245749062104,46.6957310808076,412.58818857142865,29.785962820179137,81.55329090278893,2364.8181737001864,2253.478919977218,319.0,34.73800000000001,2463.7815652828604,1.70499,507.2861343079717,22.32382064740674,,,,0.020736573027090695,412.8859428571429,3190.0,1.0,7.8221480931531175,1.70499,CD145 A3200,R,10.1016/j.epsl.2007.03.025,19.9995,-65.584,core-top,Yu2007,Uvigerina spp.
14,361.9722926737834,50.634899326216726,412.6071920000001,25.75657808233463,85.47580928947276,2253.4536692845913,2142.2212819127835,303.6,34.7396,2364.353991766549,1.50097,435.2815541781888,21.462670651424652,,,,0.02365369145511718,412.9049600000001,3036.0,1.0,7.872803434671148,1.50097,E49-19,R,10.1016/j.epsl.2007.03.025,-43.52,-90.06,6-8,Yu2007,Uvigerina spp.
15,361.21496059813734,51.24970568757697,412.4646662857144,25.625641471642204,85.1638334037306,2260.3748297369293,2149.5853548615564,338.0,34.7276,2371.6978945170326,1.27016,429.24677062973075,21.943289091166527,,,,0.023858876395050046,412.7623314285715,3380.0,1.0,7.863301815684473,1.27016,E48-22,R,10.1016/j.epsl.2007.03.025,-39.54,-85.25,9-11,Yu2007,Uvigerina spp.
16,381.2682883314416,34.13834623998694,415.4066345714285,40.47281311571377,66.61843696845447,2307.743930369378,2200.6526802852095,100.0,34.9753,2368.598292670188,6.84252,831.8881724216022,38.176743719173516,,,,0.015524023083074889,415.70642285714285,1000.0,1.0,7.719215186918099,6.84252,MD77191,R,10.1016/j.epsl.2007.03.025,7.3,-76.43,18-19,Yu2007,Uvigerina spp.
1,351.0580972427837,63.985096757216326,415.043194,18.765332538737503,109.59606460111071,2166.7404509808084,2038.3790538409608,273.1,34.9447,2322.3650421100187,2.79752,333.38917035156123,33.71064679476143,33.42368248144454,33.99761110807833,,0.031412839057324254,415.34272,2731.0,2.0,7.98701206830753,2.79752,T90-2B,R,10.1016/j.epsl.2007.03.025,53.1,20.8,core-top,Yu2007,H. elegans
2,350.37971719240943,64.29172223616213,414.67143942857155,19.241861024158258,106.87721758580413,2200.6447992108688,2074.5257206009064,360.0,34.91340000000001,2353.3371115476116,2.51248,338.1766243307178,34.93950746481816,,,,0.031013411537823554,414.9706971428572,3600.0,1.0,7.947205566973908,2.51248,CD113A-SiteA,R,10.1016/j.epsl.2007.03.025,52.92,16.92,0-1,Yu2007,H. elegans
3,351.9265355963171,62.678391832254334,414.60492742857144,19.916957648418606,104.90505028789529,2212.7586793953824,2087.9366714590683,350.0,34.9078,2361.168708985431,2.47978,349.601974086161,32.330772191284126,33.78315280403062,30.878391578537638,,0.030040961525902805,414.90413714285717,3500.0,2.0,7.939998936359079,2.47978,BOFS 30K,R,10.1016/j.epsl.2007.03.025,19.75,20.73,5-6,Yu2007,H. elegans
4,352.644939167586,62.28423426098551,414.9291734285715,19.827343270826166,106.13877322971885,2201.3189952329594,2075.3528787324144,306.9,34.935100000000006,2350.6827534951485,2.74688,351.5735126700388,71.2,,,,0.030033053091790777,415.22861714285716,3069.0,1.0,7.955964359082402,2.74688,M12310-3,"R,r",10.1016/j.epsl.2007.03.025,23.3,18.43,0-1,Yu2007,H. elegans
7,381.2682883314416,34.13834623998694,415.4066345714285,40.47281311571377,66.61843696845447,2307.743930369378,2200.6526802852095,100.0,34.9753,2368.598292670188,6.84252,831.8881724216022,33.572654572560374,33.6769421345954,33.46836701052535,,0.015524023083074889,415.70642285714285,1000.0,2.0,7.719215186918099,6.84252,MD77191,R,10.1016/j.epsl.2007.03.025,7.3,-76.43,18-19,Yu2007,H. elegans
10,359.90139744957116,49.23885655042892,409.14025400000014,24.58881008730833,94.55263429237918,2182.2172235104194,2063.075779130732,78.1,34.447700000000005,2302.221611764607,5.38717,478.6660461103342,56.45203866387393,57.38150556047232,55.52257176727554,,0.02388394622506459,409.43552,781.0,2.0,7.93638159749111,5.38717,V24-166,R,10.1016/j.epsl.2007.03.025,-16.517,-150.8,9-10,Yu2007,H. elegans
